"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","An agile project team is using scrum methods. A previously unidentified risk has occurred and threatens the current release.

What should the scrum master do?","Stop project work until the risk is assessed and analyzed.","Bring the issue up during the next standup meeting.","Engage the team to facilitate a workaround.","Collaborate with stakeholders and the project team to develop a risk response.","","C","This risk, once it occurs, is no longer a risk—it is an issue that requires action. In an agile environment, the team lead, in this case a scrum master, facilitates the self-organizing team to take action and find a solution. The team should discuss the issue during the next standup meeting for awareness, but this is only the first step in problem solving. Since this issue is both from an unidentified risk and poses a serious threat, it requires action first.","2.15","Agile","","draft",""
"single_choice","A project team is reviewing a budget early in a project and is surprised at the great cost variances. At the next retrospective, the team focuses on the budget problem and determines the current funding will be insufficient because all vendors have significantly increased their prices.

What should the project team do next?","Activate and spend the contingency amount in the overall budget.","Approach management for the release of management reserves.","Determine estimate at completion (EAC) and seek approval.","Issue a new request for proposal (RFP) that includes a cost limitation.","","C","Increasing costs of products and services directly affects projects, so project teams need to adapt. An increase across all vendor services is probably a sign of a big change in the external business environment. Issuing a new request for proposal (RFP) with a cost limitation will not likely be successful because every vendor is affected. The solution here is to understand what is causing the price increases and seek a solution for the project that is sustainable. The project team might then choose to create a revised budget with the new costs of vendor services and goods, namely the estimate at completion (EAC) which will tell them the expected total cost of completing all work expressed as the sum of the actual cost (AC) to date and the estimate to complete (ETC). The product owner or project sponsor will decide whether the organization can or wants to continue supporting the project. Because it is early in the project, this is the most sustainable solution for the long-term health of the project. Management reserves and the contingency budget should be used for covering expenses resulting from issues, not to support a project budget that has been impacted because of external environmental factors.","3.3","Hybrid","","draft",""
"single_choice","A project to upgrade a company’s human resources (HR) application is being planned. Since the work is a custom-designed application, the project team wants to use an agile approach. The product owner selects a go-live date which the project team believes is unreasonable without overtime work.

What should the project team do?","Assess how they can motivate themselves to perform the extra work to meet project goals.","Agree to the go-live date but insist that management allow exception-based team rewards in return.","Collaborate with the product owner to decide on a go-live date based on realistic estimates and available resources.","Seek approval for an increase to the project cost baseline that will include budget for estimated overtime work.","","C","An agile approach to managing projects is driven by the 12 principles of the Agile Manifesto, one of which is: Agile processes promote sustainable development. The project sponsors, developers, and users should be able to maintain a constant pace throughout the project. Sustainable development involves the use of ideal time, factoring planned leaves, and avoiding overtime or holiday working. Additionally, in this context, the project team lead or facilitator should ensure that the go-live dates are not arbitrary but based on achievable targets. Overtime should only be used as a contingency in the case of an emergency. It is not appropriate to motivate team members to work extra hours to meet project goals unless it is an exception. Team rewards should not be linked to working overtime or dealing with unreasonable time lines. Increasing the project cost baseline is not the appropriate way to deal with  team members working overtime.","1.8","Agile","","draft",""
"single_choice","Tragedy strikes on a project to restore a bus terminal and modernize the service. An unexpected natural disaster has damaged the site and surrounding city. The project team, watching from a safe location 250 kilometers away, is in emergency response mode.

What should the project team do next?","Use the contingency budget.","Activate the management reserve.","Update the risk register.","Engage stakeholders to develop a risk response.","","B","This risk, once it occurs, is no longer a risk—it is an issue that requires action. So neither updating the risk register nor developing a response is going to help now. The project team's job is to determine what action to take. This situation was unexpected and was neither planned nor budgeted for in the contingency budget. The contingency budget is used for addressing expected problems. When an unexpected problem arises and needs to be dealt with, the project team should activate the management reserve to fund an emergency response.","2.15","Hybrid","","draft",""
"single_choice","A company that manufactures and sells plastic containers is working on their latest product catalog. To comply with European laws, the photographs in the children's products sections should not consist of more than 20% images of candy and processed foods and should consist of at least 80% images of fruits and vegetables. As the project team reviews the photographs before the final printing, they identify one photograph that clearly does not comply with the law.

Which activity was the project team performing during the catalog review and which activities should they perform in the future to avoid this issue from repeating?","Data gathering and discovery; audits","Decision-making and voting; testing","Problem-solving and troubleshooting; inspection","Inspection and auditing; quality improvement methods","","D","Inspection is a quality control technique used in the Control Quality process to verify that products or deliverables conform or comply with specific quality standards, specifications, or other criteria. This happened during the catalog review. To avoid this issue from being repeated, the project team should perform quality improvement methods in the future. This may include updating their review and approval processes to ensure compliance with regulatory requirements and implementing training programs for designers and photographers to understand the compliance requirements. Decision-making and problem-solving are parts of quality management and should occur before implementation and during monitoring and controlling. Data analysis does not apply in the act of examining a photograph. Audits check compliance with standards, policies, and procedures and can be used in the future. Testing is similar to inspection and also used in the Control Quality process—in this case, the catalog review.","2.7
3.1","Agnostic","","draft",""
"single_choice","An agile coach is facilitating a discussion about servant leadership in the retrospective. During the session, the team members ask many questions.

Which one of these questions will the agile coach answer with “yes”?","Should servant leaders prioritize strategic thinking instead of daily work?","Can anyone be a servant leader?","Are there fixed guidelines for being a servant leader?","Will my performance as a servant leader be assessed?","","B","The role and title of project manager or team lead can vary by project and organization. In general terms, the profession has embraced self-organizing teams and adaptability as core tenets, and the project manager or team lead is no longer the sole person responsible for and focused on delivering results. Instead, we focus on servant leadership, which is the practice of leading the team by focusing on understanding and addressing the needs and development of team members in order to enable the highest possible team performance. A person taking on this role should balance strategic thinking with daily project work. Understanding that learning is continuous also plays a part in self-organization, so we think of tenets rather than fixed guidelines for leadership characteristics. One such tenet of servant leadership is to understand the vision of the project, not just the daily issues; the servant leader should figure out how to create a balance between daily and strategic work in the context of a project and team. Therefore, the only question in this list to be answered with “yes” is: Can anyone be a servant leader?","1.2","Agile","","draft",""
"multiple_response","A project team is moving a large sculpture from one part of a city to another. Since this is the first time the team has performed this kind of work, hazard specialists were contracted to oversee risk and compliance planning and advise the project team during the project.

Which three actions should the project manager take to lead this combined team successfully? (Choose 3)","Create a detailed roles chart with clear reporting guidelines.","Create ground rules for the specialists.","Hold separate retrospectives with the internal project team.","Provide specialists with access to organizational resources.","Hold daily standup meetings.","A,D,E","The contract with the hazard specialists should be sufficient to ensure a good, collaborative working relationship with the project team. Provided the specialists are given all the internal information they need and there is a collaborative way of working, the project work should proceed smoothly. The project team and the specialists should be working with one another, not in parallel. The project team, not just one person, should understand the risk factors that will affect the project and its compliance as much as possible.","1.2","Hybrid","","draft",""
"single_choice","A project team has deprioritized capturing lessons learned for two sprints now and just continues working. What should the project manager do first?","Remind the project team about the importance of lessons learned.","Engage the project team to understand the reasons lessons learned were deprioritized.","Ensure lessons learned are discussed at the next iteration retrospective.","Update the next iteration retrospective agenda to add a review of the team charter and ground rules.","","B","It is great the project team wants to keep working—it shows they have a good work ethic and dedication. As a project professional, one of your roles as a steward is to ensure the continuous learning and improvement (CI) of the team. In this case, you need to be the advocate for CI. As with any issue, we should analyze first, then take action. Reminders are not strong enough in most cases for meaningful action to take place. Adding or increasing visibility of actions—as ensuing lessons learned or a review of the team chart and ground rules is on the agenda—is a worthwhile response. However, these actions are not as active as taking steps to find the root cause and resolve the issue—if only to gather information to analyze.","1.4","Hybrid","","draft",""
"multiple_response","A project stakeholder thinks they are being helpful by sharing a lot of negative customer feedback emails. This feedback is often difficult to understand and written in raw, verbatim form or without any context. After 2 weeks of receiving these emails almost every day, one project team member is frustrated and becomes angry and vocal at work. 

Which three actions should the project team take? (Choose 3)","The project team should tell the stakeholder to stop sharing this kind of feedback.","At the next retrospective, the project team should discuss and circulate guidelines for receiving and processing customer feedback.","The project team member should be referred to human resources (HR) for stress management.","The project team should communicate any frustration with the product owner, who can coach the stakeholder towards a better solution.","The project team should process any relevant team lessons or improvement opportunities.","B,D,E","Conflict or disruption is a normal part of an agile team environment; frustration in this context can be understood and processed with empathy. Neither the project team member, nor the customers, nor the stakeholder did anything wrong. Feedback can come from any stakeholder or source and can take many forms. The project team only has some control over how they receive it and what they do with it. However, the product owner may be able to play the role of intermediary and speak to the stakeholder about how to deliver this feedback in a more useful way. The team member's concern should be discussed at the next retrospective, where the project team can also discuss and circulate guidelines for stakeholder feedback so that it is useful for product and team development. Using the incident as a learning opportunity to improve the project team environment is also a good answer.","1.8","Agile","","draft",""
"single_choice","A project is undergoing major restructuring, which includes recruiting a new project manager. Halfway through the restructuring, the project sponsor has approves the assessment report and confirmed the short-term actions and scope of changes required to address the many project issues.

What should the new project manager do next?","Update the project organization chart, risks, communications, and stakeholder engagement plans.","Present the details of the project assessment report and key action items to the project team and stakeholders to ensure their support.","Do nothing, because the team members were part of the project assessment report and should be aware of the upcoming changes.","Wait for the project sponsor to decide how to communicate the actions and project key changes.","","B","Although the key stakeholders were part of the project assessment, the project manager should present the report details and the project priorities established by the project sponsor. This way the stakeholders will understand the reasons for the changes to be made and the project manager can get their support for the implementation.","1.9","Agnostic","","draft",""
