"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A business analyst in a technology company has created a business case for developing a new company brand aimed at smartphone products for customers in the 65 to 85-year-old demographic. The company plans to launch the new brand within the next 2 years and has authorized several related projects. The initiative includes unique marketing, hardware design, and software development using artificial intelligence (AI) to assist users.

Which type of organizational concept is this?","Project","Program","Portfolio","Operations","","B","This is a program. Programs are related projects, subsidiary programs, and program activities that are managed in a coordinated manner to obtain benefits not available from managing them individually.","1.1.2","Agnostic","","draft",""
"single_choice","A software development project with a fixed budget and tight schedule is in the execution phase. The project team identifies a potential security vulnerability in the software that could lead to data breaches if not addressed promptly. This vulnerability was not initially identified during the project planning phase.

What is the best way to categorize the security vulnerability in this scenario?","A risk because it poses a potential threat to the project's success","A constraint because it affects the project's budget and schedule","An issue because it is a current problem that needs immediate attention","An assumption because it was not identified during the planning phase","","A","In this scenario, the security vulnerability is a risk that has been identified during the project's execution phase. Nothing has happened yet. If something happens—for example, the software is hacked—the risk becomes an issue that poses an immediate threat to the project's success. Risks are potential future events or conditions that may impact the project and may be known or unknown and appear at any time. Issues are real, current problems. Assumptions and constraints are typically identified during the planning phase, but even during the execution phase, the security vulnerability is a clear risk. A constraint is a known and fixed condition that must be adhered to during the project. An assumption is a factor in the planning process considered to be true, real, or certain, without real proof or demonstration.","1.1.4","Agnostic","","draft",""
"single_choice","Which of the following best describes the difference between organizational change management and change control?","Change management focuses on evaluating stakeholder needs, whereas change control involves creating something new.","Change management is a structured approach for transitioning organizations, mindsets, and culture, whereas change control deals with changes at the project level.","Change management is about rapidly responding to changes, whereas change control acts as an agent for change.","Change management and change control are synonymous and can be used interchangeably.","","B","Change management is a structured approach for transitioning organizations, whereas project change control deals with project document modifications. Change management, also known as enterprise or organizational transformation, is a comprehensive and structured approach for transitioning individuals, groups, and organizations from their current state to a future state in which desired benefits are realized. Change management is concerned with the broader organizational transition process.

On the other hand, change control is specifically related to managing changes within the context of a project, particularly with respect to project documents and deliverables. Change control is a procedure in which modifications are conducted through a predetermined procedure. In predictive approaches, project managers use the Perform Integrated Change Control process to modify documents, deliverables, or project baselines. These are identified, documented, and then approved or rejected. In adaptive approaches, a less formal procedure is used, typically a general framework for evaluating and assessing change within a project team's way of working and governance.","1.1.7","Predictive","","draft",""
"single_choice","An environmental conservation project is working to restore an ecosystem. Which of the following is a product deliverable in this project?","Stakeholder communication and risk management strategies specific to the ecosystem restoration.","Procurement strategy for acquiring materials necessary for ecosystem restoration.","Techniques for ecosystem restoration and the characteristics of the restored ecosystem.","Quality standards for a healthy and restored ecosystem.","","C","Product deliverables would include attributes or features of the product or service developed by the project. Project deliverables would include artifacts of the project itself. The only product deliverables in this list are the techniques for ecosystem restoration, which is the product, and the characteristics of that product.
All other choices are project attributes or deliverables. Even the quality standards for the restored ecosystem are part of the quality management plan, which is a part of the project.","1.2.0","Agnostic","","draft",""
"single_choice","What is the difference between a milestone and a task duration?","A milestone is used only in adaptive approaches, whereas a task duration is used only in predictive approaches.","A milestone indicates the end of a phase, whereas a task duration indicates the length of a phase.","A milestone contains no time value, whereas a task duration indicates an interval of time.","A milestone is permanent, whereas a task duration can be changed.","","C","Milestones and task durations are artifacts used in predictive schedule planning. Milestones are also used in adaptive planning, for example, milestones on a product roadmap. Milestones are essentially markers that indicate the end of a phase or planning point and are used by project managers and project teams in any kind of project development approach. Milestones and task durations, as with any other aspect of a project, can be changed.","1.2.3","Predictive","","draft",""
"single_choice","Which statement correctly describes the intention and practice of lessons learned correctly?","Project managers create the inputs for lessons learned, which is a project document and a formal report that are placed in the archive.","Lessons learned should be captured at the end of a project when the team has the time to focus on the task.","The project team should practice continuous improvement and learning throughout the project life cycle and transfer what they learn to future projects.","A team meeting at the end of a project to document what went wrong is sufficient to record lessons learned.","","C","The intention of lessons learned is to promote continuous improvement and learning as a part of project management practice. Capturing lessons learned only at the end of a project or by having a single meeting at the end is a mistake frequently made among project teams. Teams may be less busy then, but they also may be suffering from fatigue. Therefore, it may not be the best time to capture learning about processes and the project work. Team members are active contributors to lessons learned, along with the project manager. The purpose of lessons learned is to incorporate the learning from the project into the project team’s and organization’s ecosystem.","1.2.7","Predictive","","draft",""
"single_choice","Which option distinguishes correctly between the roles of a project manager and a project sponsor?","A project manager focuses on strategic decisions; a project sponsor handles daily tasks.","A project manager leads project initiation and planning; a project sponsor oversees execution and monitoring.","A project manager is a technical expert; a project sponsor manages finances and procurement.","A project manager facilitates project success; a project sponsor provides high-level support and funds the project.","","D","The project manager ensures project success by managing daily tasks, whereas the project sponsor provides high-level support, funding, and alignment with organizational goals. This distinction in roles is fundamental in project management.","1.3.0","Agnostic","","draft",""
"single_choice","A group of project managers is discussing a senior executive’s recent presentation on being leaders rather than managers.

Which conclusion is correct?","Management entails following set frameworks, whereas leadership is responsible for creating the frameworks.","Executives and others who make strategic decisions are leaders, whereas lower-level managers are limited to management tasks.","Leadership means prioritizing individuals and interactions over processes and tools, whereas management means putting quality first.","Leadership means being visionary and setting an example for others to follow, whereas management focuses on achieving targets.","","D","Leadership is a quality anyone can and should have. It emphasizes having a vision, being a lifelong learner, and having a people-oriented focus in order to steer teams and organizations toward success. Management focuses on short-term objectives, relies on control, and conducts activities that keep teams and organizations focused.","1.3.4","Agnostic","","draft",""
"single_choice","A project team is in the middle of a timeboxed iteration. A project manager has decision-making authority, and the team works autonomously on tasks. A technical issue arises that will potentially affect quality.

Which action should the project team take?","Create an entry in the risk log.","Escalate to the project manager, depending on the severity.","Address the issue.","Perform cost of quality (COQ) analysis.","","C","Whenever any kind of issue arises on a project, the project team should be prepared to take action. This team is hybrid, with a project manager at the helm of project work, but the team should be confident in performing the work and addressing the technical issue. The project manager will manage the issue, including entering details in the risk log or any needed analysis related to the project and quality. Escalation is performed from the project to the next level of authority, typically the project sponsor. The team would not escalate a technical problem to a project manager in any case because project managers are not technical specialists.","1.4.0","Agnostic","","draft",""
"single_choice","The project management plan specifies that an appropriate development approach has been selected to produce the project deliverables.

Where in the project life cycle will the overall project risk be the lowest?","Initiation","Planning","Execution","Closing","","D","In a project development approach, overall risks increase over time and then will be lowest at the closing stage of the project. Although risk is low at the start of the project, the predictive approach emphasizes upfront planning, measurement, and control. Hence, risk at the start of the project is not a true reflection of the overall project risk.

It’s important to note that despite overall risk being lowest at project closure, the impact of a risk at project closure is more serious than at any other time.","2.1.2","Predictive","","draft",""
