"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","A project team member is consistently missing deadlines, creating bottlenecks for the rest of the team.

Which action should the team take to support the team member?","Enroll the team member in time management training","Ask the team member to speak first at standups","Release the team member","Pair the team member with a more experienced member of the team","","D","While all of these solutions can work and produce a better result for the team and the team member. The best answer in this scenario is to try pairing, which is a coaching situation that can support this team member by revealing competency needs, specifically how to perform tasks in a more timely manner.","I.5
I.3","Agile","","draft",""
"single_choice","A project manager is assessing the risks to a hybrid project in the execution stage. At the end of each iteration, the team has only reported normal issues such as equipment malfunctions. However, the team has recently alerted the project manager to a developing problem that signal regulatory noncompliance for the product.

Which artifact should the project manager review and update?","Risk register","Probability/impact matrix","Risk management plan","Product technical documentation","","A","Since noncompliance is a known risk area, the project manager can find information related to the management of this risk in the risk register. The probability/impact matrix will provide details of the consequences of the risk, so this will be useful after the risk has been assessed. The risk management plan and the technical documentation will contain helpful information, but not at this stage, when the project manager simply needs to know if the developing problem has escalated and poses the threat of becoming an issue.","II.3","Hybrid","","draft",""
"single_choice","A PMO in a large manufacturing company has been working diligently to retrain project managers and standardize software and templates across all projects, so that every project in the company will produce compliant artifacts. Which type of PMO is being described?","Supporting","Controlling","Directive","Agile Center of Excellence","","B","Controlling PMOs provide support and require compliance through various means.  Compliance may involve adopting project management frameworks or methodologies; using specific templates, forms and tools; or conforming to governance. Supportive PMOs provide a consultative role to projects by supplying templates, best practices, training, access to information and lessons learned from other projects. Directive PMOs take control of projects by directly managing the projects or shared resources, including project managers. A relatively small number of PMOs fall into this category. Agile Centers of Excellence (ACoE) or Value Delivery Offices (VDO) are emerging within organizations adopting more decentralized structures where teams need to respond quickly to changing customer needs. Their role is different, taking on coaching and mentoring efforts, rather than a managerial one.","II.14","Agnostic","","draft",""
"single_choice","Two project managers are chatting in an airport lounge, on their way to a conference. They have never met and work in different companies. Project manager A tells a story about the last project, in which the team was given strict deadlines for updating artifacts and were audited to ensure risk registers and issue logs were updated at least once per week. Project manager B is shocked by project manager A’s story, because their project team is allowed to work independently, with very little reporting required.

Which statement is true?","Project manager B’s PMO has no project governance.","Project manager B’s company does not have a PMO.","Project manager B’s company uses adaptive development approaches that projects adhere to and the PMO ensures compliance.","Project manager B’s company has a supportive PMO which only provides a peripheral role.","","C","Clearly, these two project managers work in different contexts. Project manager B’s company has a PMO that ensures compliance, but otherwise empowers project teams to self-organize and run adaptive projects.","II.13
II.14","Agnostic","","draft",""
"single_choice","The CEO of a global furniture chain authorizes a project to retrofit 35% of the company’s factories with new technology in 2 years, at a maximum cost of $US48 million. The competition in this market is high and the CEO needs to see a return on the investment within 3 years.

Which development approach should this project take and why?","A predictive development approach, because the scope, budget and schedule are set","A hybrid development approach that uses a predictive scheduling process and incremental development of the factories to ensure the value-based expenditure of the budget and resources","A hybrid development approach that uses time-boxed, iterative scheduling with incremental budget releases over the 2-year period; this will ensure the project does not run out of money","A hybrid development approach with a flexible scope, in case anything changes and the company can pivot","","B","A hybrid approach with a predictive scheduling process and incremental development of the work will show the CEO how the project is proving value while controlling the budget and time line.","II.13","Hybrid","","draft",""
"single_choice","An international bank is performing a merger as part of a major program change and hired a consulting company to perform an advisory role during the merger. The consultants recommend using agile to ensure the best chance of success.

What do the consultants mean by this?","They need to work quickly.","Use of agile practices to complete financial mergers is a best practice.","Adopting the agile mindset helps organizations navigate complexity.","The merger should be completed in increments.","","C","Agile practices are helpful in incremental and rapid development, and they are informed by the agile mindset, which is a group of four values and 12 principles about how to think and behave within the practice of agile methods. When project professionals refer to “being agile,” they are referring to the mindset, which bears the characteristics of the life cycle of the same name.","II.13","Agile","","draft",""
"single_choice","A virtual team member has recently joined a colocated team. Despite being highly qualified, the team member’s performance is constantly questioned and ridiculed by the collocated team members.

Which approach should the team lead take?","Use the team charter to address collaboration and team goals","Cancel the virtual team member’s contract; clearly, the team is not cohesive.","Organize a weekly virtual coworking session led by a facilitator.","Monitor the situation and intervene only if the virtual team member makes a report to HR.","","A","The team lead needs to empower this team to self-organize and address the risk of isolation and bullying the new virtual team member is experiencing. Using the team charter to address collaboration and team goals will remind everyone of the common aims, professionalism, and appropriate conduct they seem to have forgotten.","I.11
I.1
I.2
I.6","Agile","","draft",""
"single_choice","In an organization, some people work longer days in a 4-day week, while others work standard days 5 days per week. On one project, a mix of these schedules has caused some scheduling problems, particularly for standups and iteration demos.

Which approach should the team take?","Require the team members who work 4-day weeks to attend the standups on day five.","Self-organize and solve its scheduling problem.","Suggest that everyone on the team use the same work week during this project.","Ask the PMO for advice.","","B","The team needs to make some tough choices here, but they have to be agreeable to everyone. They could agree about how to share information with members who couldn’t attend or hold a standup at the end of the last working day of the 4-day week. Whatever choice they make, agreement in the team charter and a shared perception of work is key.","I.12
II.6
II.5","Agnostic","","draft",""
"single_choice","A team member has reported a project manager to HR for shouting during meetings. Other team members validate the complaint, but when the PMO asked the project manager about this, their answer was they were only trying to motivate the team.

What is the problem here?","The team members are too sensitive.","The project manager needs to be a servant leader.","The team charter lacks details about polite conduct.","The project manager is unqualified.","","B","There could be many reasons for this conflict on the team, but project professionals, as part of their roles as leaders, must exercise appropriate interpersonal skills as servant leaders. Some teams and situations are extremely sensitive; project managers should be able to adapt to lead any kind of team or personality. Clearly, the project manager understands the need to motivate the team, but the question is how to do this in the right way. This is the opportunity presented by servant leadership, to understand how to effectively lead this team by example. Clearly, the team members are indicating their dissatisfaction with the project manager’s current method. Team charters cannot contain detail about every type of communication and expectation on a team.","I.1
I.2
I.10","Agnostic","","draft",""
"single_choice","A project manager meets frequently with a company’s diversity, equity and inclusion (DE&I) coordinator, because several members of the project team wear t-shirts on Fridays that others in the organization consider controversial. They are allowed to wear the shirts, but there are numerous complaints from around the company.

What should the project manager do first?","Caution the team members about wearing the t-shirts to work.","Coach the team members on self-awareness.","Continue meeting with the DE&I coordinator.","Find out why they are wearing the t-shirts.","","B","Understanding the cultural contexts of the organization, its larger culture(s), and the individuals involved is essential in choosing the right course of action here. If the team members were not allowed to wear the shirts in the first place, then the easy answer is discipline. But since the team is permitted to wear the shirts, this potentially difficult situation risks getting a bit worse each Friday. The best course of action is to coach the team members on how to be more self-aware so they can understand how their actions may be causing others distress, even though the t-shirts are allowed. This answer is more transformational than any of the others and will provide better, longer lasting results.","I.2","Agnostic","","draft",""
