"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"single_choice","An agile project team has just started work developing a script for a video game. Team members are very excited about the work but argue all the time due to clashing working styles and creative approaches.

What should the team lead do to ensure the project progresses smoothly?","Ask the team to examine their working styles during the next retrospective.","Address the conflict quickly and in private, using a direct, collaborative approach.","Allow team members to resolve the conflict on their own without intervention.","Arrange a brainstorming session to discuss team ground rules.","","D","In agile teams, addressing conflicts openly and collectively is crucial. Arranging a brainstorming session to establish team ground rules aligns with agile principles by involving the entire team in creating norms and expectations. This approach helps to address the current conflict and prevent future issues, fostering a collaborative and transparent team environment. Even though agile teams typically stay together and move from one initiative to another, unmanaged conflict can still disrupt the team. A dedicated brainstorming session is the most appropriate option because it aligns with principles and sets the team up for success and smooth progress.","1.1","","","draft",""
"multiple_response","A project manager has recently left an organization with a formal and highly regulated culture. In an upcoming role, the project manager will lead a virtual team of aeronautical engineers and designers. During the engagement interview, the project manager was informed these engineers and designers are accustomed to a great deal of freedom in their working styles and little supervision.

Which two actions should the project manager take to prepare for this transition? (Choose 2)","Review good practices for virtual team working.","Become familiar with the typical working styles of people in the organization.","Consider the benefits of the agile mindset.","Schedule a team kickoff meeting to update their continuous improvement plan.","Consult management theories about intrinsic and extrinsic motivations.","A,B","The project manager should focus on understanding virtual team management practices and specific working styles of team members to ensure a smooth transition and effective leadership in the new role.

While considering the benefits of the agile mindset can be beneficial, this option is not as directly relevant to the immediate preparation for managing a virtual team with specific working style preferences. Scheduling a team kickoff meeting to update the continuous improvement plan is a good practice but not directly related to understanding and preparing for the team working styles and virtual team management. Consulting management theories about intrinsic and extrinsic motivations can be useful but is not as immediately practical as understanding virtual team practices and team working styles.","1.2","","","draft",""
"single_choice","A project manager is tasked with building a team for the rollout of a new set of processes across a national franchise. In addition to three permanent cross-functional project team members, there is a budget to acquire more expertise. However, the project manager needs to determine the resource requirements first.

Which approach should the project manager consider?","Perform a gap analysis to compare the current skills of the team members with the skills required for the rollout.","Conduct interviews with stakeholders to identify the necessary skills and knowledge for the rollout.","Assume that team members who have attended a training session on project management are qualified to teach the new processes.","Conduct an assessment to evaluate how well team members have performed in their current roles.","","A","The project manager should perform a gap analysis to compare the current skills of the team members with the skills required for the rollout. The project manager should also examine the skills, knowledge, and abilities required by occupational groups, functions, and/or departments within the franchise. A gap analysis helps identify differences between the current skills of team members and the skills needed for the rollout, providing a clear roadmap for training and development.

While stakeholder interviews can provide valuable insights, they may not offer a comprehensive or objective assessment of the specific skills and knowledge required. Stakeholders might have varying perspectives and may not be fully aware of the detailed requirements for the rollout. A project management training session is insufficient to ensure team members have the depth of knowledge and practical experience needed to teach new processes effectively. This assumption could lead to gaps in understanding and implementation. Finally, assessments focus on past performance in current roles and may not accurately reflect the specific skills and knowledge needed for the new processes. These assessments are typically retrospective and may not align with future requirements.","1.6","","","draft",""
"single_choice","A development team is producing high-quality work and completing tasks quickly in a project to update an app using a new third-party technology. The product owner is highly optimistic, and the project manager is forecasting on-time release because of very positive stakeholder feedback. The company that developed the new technology, however, is in the news for securities fraud. Company leadership initiates a full security and ethics investigation following the troubling news.

What should the project manager do?","Pause development until leadership gives approval to proceed.","Consult the risk register.","Suggest the team work on nonfunctional requirements.","Collaborate with the product owner to determine the next step.","","D","The preferred approach for the project manager is to collaborate with the product owner to determine the next step. This ensures both parties are aligned and can make an informed decision based on the impact of investigation on the project. Consulting the risk register is also a valuable action to understanding potential risks and mitigation strategies. Pausing development might lead to unnecessary delays. Working on nonfunctional requirements is a good interim solution but should be done in collaboration with the product owner to ensure alignment with project priorities.","1.7","","","draft",""
"single_choice","A project manager has been named to lead a project to develop a solution. The project manager is eliciting requirements before finalizing the project charter. During interviews, the project manager determines the project sponsor and key stakeholders have differing expectations about timelines and quality.

What should the project manager do to reconcile these differing expectations?","Conduct interviews to determine which party has the greatest power and influence and consider that person the lead stakeholder.","Collect and document all requirements, plot them on a requirements traceability matrix, then prioritize them according to financial value.","Conduct a Pareto analysis of all stakeholder requirements and present the results at a facilitated workshop.","Conduct a workshop with the stakeholders about timelines and quality.","","D","In this scenario, the project manager is facing differing expectations from the project sponsor and key stakeholders regarding timelines and quality. It is crucial to reconcile these differences to ensure project success. Facilitating negotiations with the stakeholders about timelines and quality is the most appropriate approach because it involves direct communication and negotiation. Facilitating a negotiation allows the project manager to address concerns, find common ground, and reach a consensus on timelines and quality.

Deciding which stakeholder has the most power and influence, and considering that person the lead stakeholder, may lead to bias and does not address the root cause of differing expectations. It could also alienate other stakeholders, leading to further conflicts. While documenting and prioritizing requirements is important, this option does not directly address differing expectations about timelines and quality and focuses more on financial value rather than reconciling stakeholder differences. Finally, a Pareto analysis can help identify the most significant requirements but may not effectively reconcile differing expectations about timelines and quality and is more suited for identifying key issues rather than resolving conflicts.","1.8","","","draft",""
"single_choice","An airport authority authorizes a project to review arrival and departure schedules at a small airport. During preliminary engagements with stakeholders, the project manager learns they want to prioritize cargo planes, then sell the remaining slots using a transparent process.

Which action should the project manager take next?","Schedule a bidder conference.","Publish a request for proposal (RFP).","Develop a project management plan.","Create a configuration management plan.","","C","This project manager has been assigned to a project and is authorized to begin work, so it is time to create a project management plan. A bidder conference is a meeting held with prospective sellers prior to the preparation of a bid or proposal. The primary purpose of this conference is to ensure all prospective vendors have a clear and common understanding of the procurement requirements. We use a request for proposal (RFP) when we need to solicit proposals from potential vendors or service providers for a project where the solution is not straightforward and requires detailed proposals. A configuration management plan is created to ensure all project artifacts are identified, tracked, and controlled throughout the project life cycle.","2.1","","","draft",""
"multiple_response","Three months into a project, a project team member alerts the project manager to an incident involving one of the vendors using equipment that belongs to the project. The project manager investigates and discovers the vendor has a long-standing relationship with the project sponsor.

Which two actions should the project manager take? (Choose 2)","Contact the procurement and legal departments to review the vendor contract for conflict-of-interest disclosure.","Ask the project sponsor if they allowed the vendor to use the equipment.","Log the issue in the issue log and examine the reported incident with the vendor and team member.","Allow work to continue because the equipment was already used.","Escalate the issue to the project management office (PMO) immediately.","A,C","The project manager should take actions that ensure proper investigation and documentation of the incident. Contacting the procurement and legal departments helps in understanding the contractual and legal implications, whereas logging the issue and examining the incident ensure the incident is properly tracked and investigated. These actions provide a comprehensive approach to addressing the issue while maintaining transparency and compliance with organizational policies.

Asking the project sponsor if they allowed the vendor to use the equipment and escalating to the project management office (PMO) may be considered after the initial investigation if further clarification or action is needed. Allowing work to continue without addressing the issue is not advisable.","2.11.","","","draft",""
"single_choice","During a product review meeting, project team members argue about who was supposed to update test results from the previous week. To encourage the team to become more familiar with project management, the project manager advises team members to find the answer in a specific document.

Which document is the project manager referring to?","Project management plan","Requirements traceability matrix","Quality management plan","RACI (responsible, accountable, consulted, informed) matrix","","D","The RACI (responsible, accountable, consulted, informed) matrix is the correct document because it explicitly outlines who is responsible for specific tasks such as updating test results. This document helps clarify roles and responsibilities, reducing confusion and ensuring accountability within the project team.

The project management plan is a comprehensive document that outlines how the project will be executed, monitored, and controlled. While this document includes various subsidiary plans, it does not specifically detail individual responsibilities for tasks such as updating test results. The requirements traceability matrix links requirements to their origins and tracks them throughout the project life cycle. This document ensures all requirements are addressed but does not specify who is responsible for updating test results. The quality management plan outlines the quality policies, procedures, and criteria for the project. This document includes information on quality assurance and control but does not detail individual task responsibilities.","2.12.","","","draft",""
"multiple_response","A company is in a country where the inflation rate has soared over the last decade. Most of the projects of this company are conducted in this country.

Which three options should the project manager consider when forming a comprehensive approach to managing future projects? (Choose 3)","Plan the project with a high-risk threshold and add a high contingency reserve.","Use a fixed-price-with-economic-price-adjustment contract to protect the project from budget increases.","Update the procurement management plan and risk register regularly.","Create close working relationships with the finance and procurement teams to ensure adequate governance.","Focus on reducing project scope to control or minimize cost","B,C,D","When planning future projects in a country with a high inflation rate, the project manager should consider strategies to mitigate the financial risks associated with inflation. Using a fixed-price-with-economic-price-adjustment contract to protect the project from budget increases attached to specific costs is an effective strategy for managing the impact of high inflation on project budgets. This contract provides a mechanism to adjust prices in response to economic changes, thereby protecting the project from budget overruns due to inflation. Combining this approach with regular updates to the procurement management plan and risk register and maintaining strong relationships with the finance and procurement teams provides a comprehensive approach to managing inflation-related risks.

Using a high-risk threshold in planning may help manage unexpected costs due to inflation but may not be the most efficient or proactive strategy because it focuses on reacting to risks rather than preventing them. While adding a contingency reserve can help manage risks, it may not be sufficient to address the specific issue of inflation, which can significantly impact project costs over time. Reducing the project scope might help in controlling costs but does not directly address the issue of inflation and its impact on project budgets.","2.13.","","","draft",""
"single_choice","In a large organization, a project manager is leading a strategic project that is critical to success of the organization and is experiencing a delay related to unresponsive stakeholders and outstanding sign-offs on reports. While reviewing the lessons learned repository, the project manager notices inconsistencies in project documentation and reporting standards across different projects.

What should the project manager do first?","Continue using the current documentation and reporting standards for the strategic project and assume other projects will follow.","Develop a set of documentation and reporting standards and implement them within the strategic project.","Collaborate with the project management office (PMO) to verify standardized documentation and reporting guidelines are available for all projects.","Focus on completing the strategic project on time and escalate the inconsistencies to the project management office (PMO).","","C","The preferred course of action is to collaborate with the project management office (PMO) to ensure standardized documentation and reporting guidelines are available and followed across all projects. This approach addresses the inconsistencies and helps in maintaining a uniform standard, which is critical for successful projects in this organization.

Continuing with the current documentation and reporting standards without addressing the inconsistencies will not resolve the underlying issue. It assumes that other projects will follow, which is not guaranteed and may lead to additional inconsistencies. Developing a set of documentation and reporting standards and implementing them within the strategic project is a proactive approach. However, this approach does not address the need for organization-wide consistency and may lead to additional discrepancies if not aligned with the standards of the PMO. Focusing solely on completing the strategic project on time and escalating the inconsistencies to the PMO addresses the immediate project needs. This approach, however, does not proactively resolve the documentation and reporting standards issue and may lead to temporary fixes rather than a long-term solution.","2.14.","","","draft",""
