"questionType","prompt","optionA","optionB","optionC","optionD","optionE","correctAnswer","explanation","ecoDomain","performanceDomain","imageUrl","status","difficulty"
"multiple_response","A project team is updating a stakeholder engagement assessment matrix. Which three labels indicate a stakeholder is actively engaged in a project? (Choose 3)","Unaware","Supportive","Neutral","Resistant","Leading","B,D,E","The five labels typically used to describe stakeholder engagement are: unaware, resistant/detractor, neutral, supportive, and leading/champion. Of these, the active ones are: resistant, supportive, and leading or champion. Resistant or detractor stakeholders are not supportive of the project and may try to harm, undermine, or dissuade others from supporting. All are active ways of engaging. Supportive and leading stakeholders play a supporting or leading role in the project objectives, being advocates, or helping facilitate tasks, for example. The labels of neutral and unaware indicate stakeholder indifference, ignorance, or inactivity.

We use these labels and conduct stakeholder analysis to move stakeholders from current to desired levels of engagement and ensure the stakeholders are supportive, or at least not actively unsupportive, of the project objectives.","1.2","Agnostic","","draft",""
"single_choice","A project manager is observing a work site and notices several potential hazards that could endanger worker and equipment welfare and impact the project timeline and budget. The project manager schedules a risk planning meeting with the project team and asks the team to identify and analyze potential risks and develop appropriate response strategies.

Which action should the project manager take?","Prioritize the risks by impact from minor to major risks and plan for the major risks first.","Develop a risk register to document identified risks, their analyses, and planned responses.","Identify all risks and assign them to project team members for resolution.","Make some initial decisions about the risks, then wait 2 weeks to reassess before committing to a strategy.","","B","When a project manager identifies potential hazards on a job site, they should document and manage these risks to ensure the safety of workers and successful completion of the project. Developing a risk register to document identified risks, their analyses, and planned responses is the correct answer, because developing a risk register is a fundamental step in risk management.

While prioritizing risks by impact is important, it is only one part of the risk management process. Without documenting the risks and their responses, the project manager may miss critical details and fail to communicate effectively with the team. Assigning risks to team members for resolution is part of the risk response process but should be done after the risks have been documented and analyzed. This ensures the team members understand the risks and planned responses. Delaying the analysis and decision-making process can lead to unmanaged risks escalating and causing more significant issues. It is essential to address risks promptly and continuously monitor them.","1.2","Agnostic","","draft",""
"multiple_response","Which three stakeholder or organizational characteristics do project professionals consider when evaluating or assessing the potential impact of risks? (Choose 3)","Tolerances","Thresholds","Way of working","Organizational hierarchy","Appetites","A,B,E","Tolerances refer to the degree of variability that stakeholders are willing to accept in the project. Understanding tolerances helps in determining how much deviation from the project management plan is acceptable before corrective actions are needed. Thresholds are specific points or levels at which a risk becomes unacceptable and triggers a response. Knowing the thresholds helps in identifying when a risk should be addressed to prevent it from impacting the project negatively. Appetites refer to the level of risk an organization or stakeholder is willing to take. Understanding risk appetites helps in aligning the risk management approach with the overall risk-taking philosophy of the organization.

While the way of working can influence how risks are managed, it is not a primary characteristic considered when evaluating the potential impact of risks. It is more related to the processes and methodologies used in the project. Organizational hierarchy can affect decision-making and communication, but it is not directly related to assessing the potential impact of risks. Organizational hierarchy is about the structure and roles within the organization.","1.2","Predictive","","draft",""
"single_choice","A project team is using a predictive planning approach to control the timeline and budget and an agile development approach to iteratively design a product. What is the role of the project manager?","Coach the agile team to ensure they follow the predictive plan strictly.","Provide high-level management direction and coordination, ensuring alignment between the predictive and agile approaches.","Delegate planning responsibilities to the agile team and focus on budget control.","Focus on delivering the project on time while allowing the team to control the design development.","","B","This project team is using a hybrid approach, combining predictive planning elements with an agile execution strategy. The project manager provides high-level management direction and coordination, ensuring alignment between the predictive and agile approaches.

Coaching the agile team to strictly follow the predictive approach contradicts the principles of an agile approach, which emphasizes flexibility and adaptability. Delegating all planning responsibilities to the agile team and focusing solely on budget control is incorrect, because the project manager should oversee both planning and budget control, ensuring the predictive and agile approaches are integrated effectively. Focusing on delivering the project on time while allowing the team to control the design development is incorrect. While focusing on timely delivery is important, the project manager should also ensure the predictive and agile approaches are aligned and coordinated, rather than allowing the team to control design development independently.","1.3","Agnostic","","draft",""
"multiple_response","Which two statements reflect how a project manager should manage conflict in a team? (Choose 2)","Conflict is a regular part of team culture.","Conflicts are always visible and known to others.","Intervene when requested.","Record outcomes of conflicts in lessons learned.","Escalate all conflicts to the project sponsor.","A,D","A project manager should recognize that conflict is a regular part of team culture and should document the outcomes of conflicts in lessons learned. This approach helps in managing conflicts effectively and provides valuable insights for future projects. Conflict is a natural occurrence in any team environment and can be a sign of healthy engagement and diverse perspectives. Recognizing that conflict is a regular part of team culture helps in managing it effectively. Documenting the outcomes of conflicts in lessons learned is good practice and helps in understanding what worked and what didn’t, providing valuable insights for future projects.


Not all conflicts are visible or known to others. Some conflicts may be subtle or unspoken, requiring the project manager to be observant and proactive in identifying and addressing them. A project manager should not wait to be asked to intervene in conflicts. Proactive conflict management is essential to prevent escalation and maintain a productive team environment. Finally, not all conflicts need to be escalated to the project sponsor. The project manager should handle conflicts at their level unless they are unable to resolve them or if the conflict has significant implications that require higher-level intervention.","1.3.5","Agnostic","","draft",""
"multiple_response","A project manager has been assigned to a project to update an inventory process and cold storage equipment of an organization. The process owner, the purchasing department manager, and the warehouse manager are named key stakeholders on the project charter. The project manager has also received a copy of the business case from the business analyst.

Which two roles are responsible for planning the benefits for the project? (Choose 2)","Project manager","Process owner","Purchasing department manager","Warehouse manager","Business analyst","A,E","The project manager and business analyst are responsible for benefits planning. The project manager plans how the project can deliver the value and benefits identified by the business analyst in the business case. The responsibility of the business analyst is to align the project charter with the business case, which means benefit planning for the organization.

The other roles are responsible for fulfilling benefits or pursuing benefits realization.","1.4.2","Agnostic","","draft",""
"single_choice","Several exciting initiatives are happening throughout an agricultural product manufacturing company. Which statement describes a project ready for initiation?","A product owner has created a product roadmap for a second variety of the company’s popular seaweed-based fertilizer.","The functional manager supervising tractor assembly needs to improve speed while maintaining quality.","The cafeteria is being expanded to include a wellness center and healthier meal options to promote employee health.","Disposal of hazardous waste material cost the company US$3 million the previous year.","","C","The employee cafeteria and wellness center is the only project on this list. The project goal is to promote employee health, which includes a proposed scope of the new wellness center and menu options. Product roadmaps on their own are not enough to authorize a project without an identified business need and a supporting business case. The tractor assembly manager has identified a business need—in this case, a problem that should be resolved. The business case will check the feasibility and solution method before this can become a project. Finally, the hazardous waste material disposal cost may or may not be a problem. Perhaps this is the actual cost of the service or maybe the company wants to do something about it, but this statement on its own does not describe a project.","1.4.2","Agnostic","","draft",""
"multiple_response","A pharmaceutical company initiated a research project to develop a therapeutic solution. The project manager is carefully monitoring the work and project progress of the team.

Which three project artifacts are important during this part of the project? (Choose 3)","Change requests","Project status reports","Project charter","Work performance reports","Lessons learned","A,B,D","Change requests, project status reports, and work performance reports are critical during the monitoring and controlling phase of a project. Change requests document any modifications needed in the project scope, schedule, or resources based on the monitoring results. Project status reports provide a snapshot of the current state of the project, including progress, issues, and performance against the project management plan, which is essential for monitoring. Work performance reports compile data on project performance, including metrics and analyses, which are vital for assessing progress and making informed decisions.

The project charter is a document that formally authorizes the project and provides a high-level overview of its objectives, scope, and stakeholders. While the project charter is critical at the beginning of the project, it is not as relevant during the monitoring phase. The project manager needs more detailed and current information to track progress and performance. Lessons learned are valuable for capturing insights and knowledge gained from the project, which can be used to improve future projects. However, during the monitoring phase, the focus is on current project performance and progress. Lessons learned are typically documented and reviewed at the end of the project or at key milestones, rather than being a primary focus during ongoing monitoring.","2.1","Predictive","","draft",""
"single_choice","In which scenario is a predictive approach most suitable?","A project is using innovative technology.","Stakeholders are not certain about the need for the project.","The organization has performed this type of project many times.","Cost estimates are highly varied because of a changing market.","","C","The most suitable project for a predictive approach is the project type performed many times by the organization. Due to inexperience of the team, there may be certainty about project expectations that suits a plan-based approach.
Innovative technology thrives in an adaptable environment where ideas can be tried and tested. If stakeholders have authorized a project they are not certain about, the team will need to provide proof of concept, which can best be accomplished using iterative development. If cost is a highly variable factor, this introduces uncertainty to the project as well.","2.1.1","Predictive","","draft",""
"single_choice","A project team has created a project management plan with scope, schedule, budget, risk, quality, and resource components. What should the project manager do next?","Audit the project management plan.","Integrate the plans.","Apply the Perform Integrated Change Control process.","Initiate lessons learned.","","B","After creating the individual components of the project management plan, the next step is to integrate these components into a cohesive and comprehensive project management plan. This ensures all aspects of the project are aligned and there is a clear, unified direction for the project.

Audits are typically conducted later in the project to ensure compliance and effectiveness, not after creating a project management plan. The Perform Integrated Change Control process is used to review and manage changes to the project. This process is applied after the project management plan is integrated and approved, not immediately after creating the plan components. Lessons learned typically are recorded throughout the project life cycle and especially during project closure, not immediately after creating the project management plan components.","2.2.6","Predictive","","draft",""
